title,date,publication,remove_tags,add_tags,source,notes
Notice of Application for a Conditional Publican's Licence,9 June 1893,Katoomba Times,Accommodation,Megalong Hotel | Megalong | regulatory processes | publican's licensing,accommodation_approval,Item (modified with 1 additional tags)
The Megalong Hotel,21 September 1894,Mountaineer,Accommodation,Megalong Hotel | Megalong | Katoomba | Nellie's Glen (gully) | Nellie's Glen (settlement),accommodation_approval,Item #64
Katoomba Items.,28 April 1899,Lithgow Mercury,Post,postmaster | post office | Mrs. H. Corston | Mrs. A. Smith,post_tag_action_plan,Item #1
Local Jottings.,26 April 1890,Katoomba Times,Post,postmaster | postboy | post office,post_tag_action_plan,Item #2
Megalong Matters.,5 June 1896,Mountaineer,Post,postmaster | post office | Mrs. James,post_tag_action_plan,Item #3
Katoomba.,4 August 1905,Lithgow Mercury,Post,postal services | Postal Department,post_tag_action_plan,Item #4
Town Talk.,30 October 1903,Blue Mountain Gazette,Post,post office,post_tag_action_plan,Item #5
Mountain Mixtures,25 August 1893,Katoomba Times,Post,post office | Postal Department,post_tag_action_plan,Item #6
Mountain Mixtures.,17 June 1892,Katoomba Times,Post,postal services,post_tag_action_plan,Item #7
Megalong,14 August 1896,Mountaineer,Post,postmaster | Mrs. England | postal services,post_tag_action_plan,Item #8
Megalong Valley.,23 June 1893,[Unknown],Post,postal services | post office | mailman,post_tag_action_plan,Item #9
Death of Major Gordon,5 May 1915,North Western Courier,Military,Major Sir Charles George Gordon | soldiers | N.S.W. Mounted Rifles | military activities | military sports | World War I,military_taxonomy_consolidation,WWI military personnel and organisation tags
The Late Major Gordon,6 October 1915,North Western Courier,Military,Major Sir Charles George Gordon | soldiers | World War I,military_taxonomy_consolidation,WWI military personnel tags
Mountain Mixtures.,21 October 1892,Katoomba Times,,horses | horseborne transportation,horses_reclassification_getty_aat,Item #1 - Horseman in urban traffic (practical transport)
Megalong Matters.,26 August 1892,Katoomba Times,,horses | horse breeding | wild horse culling | wild horses | Mr Hardie Clydesdale,horses_reclassification_getty_aat,Item #2 - Wild horses shot for skins and pony/horse breeding business
Town Talk.,13 May 1904,Blue Mountain Gazette,,horses | horseborne transportation | postal services,horses_reclassification_getty_aat,Item #3 - Postman's horse (commercial postal transport)
Town Talk.,13 March 1903,Blue Mountain Gazette,,horses | horseborne transportation,horses_reclassification_getty_aat,Item #4 - Horseback travel down Nellie's Glen (practical transport)
Mountain Mixtures.,4 December 1891,Katoomba Times,,horses | horseborne transportation | horse-drawn vehicle accidents | runaway horse incidents,horses_reclassification_getty_aat,Item #5 - Buggy transport accident (horses bolted)
Mountain Mixtures.,23 June 1893,Katoomba Times,,horses | horseborne transportation,horses_reclassification_getty_aat,Item #6 - Cart transport for prospecting
