title,date,publication,remove_tags,add_tags,source,notes
Mountain Mixtures.,16 June 1893,Katoomba Times,I.O.O.F. Hall,Odd Fellows' Hall,orphaned_tags_final_resolution,Final batch: all tags verified as synonyms in taxonomy
Local Jottings.,25 May 1889,Katoomba Times,Nellie's Glen,Nellie's Glen mining district,orphaned_tags_final_resolution,Final batch: all tags verified as synonyms in taxonomy
Footballers' Social at Hartley Vale.,20 October 1899,Lithgow Mercury,Hartley Vale,Hartley Vale mining district,orphaned_tags_final_resolution,Final batch: all tags verified as synonyms in taxonomy
Local Jottings.,21 September 1889,Katoomba Times,Police,New South Wales Police,orphaned_tags_final_resolution,Final batch: all tags verified as synonyms in taxonomy
Mountain Mixtures.,29 April 1892,Katoomba Times,Hartley Vale,Hartley Vale mining district,orphaned_tags_final_resolution,Final batch: all tags verified as synonyms in taxonomy
The Passing of a Mountaineer. Vale! Joseph Nimmo.,23 March 1917,Blue Mountain Echo,Hartley Vale,Hartley Vale mining district,orphaned_tags_final_resolution,Final batch: all tags verified as synonyms in taxonomy
Mountain Mixtures.,4 May 1894,Katoomba Times,Hartley Vale,Hartley Vale mining district,orphaned_tags_final_resolution,Final batch: all tags verified as synonyms in taxonomy
Catalogue of the Australian Kerosene Oil & Mineral Company Limited.,1885,,Australian Kerosene Shale and Oil Company,Australian Kerosene Oil and Mineral Company,orphaned_tags_final_resolution,Final batch: all tags verified as synonyms in taxonomy
Kembla Disaster Survivor: Death of Mr. J. J. Meredith,25 November 1940,Lithgow Mercury,Hartley Vale,Hartley Vale mining district,orphaned_tags_final_resolution,Final batch: all tags verified as synonyms in taxonomy
To-Day's Further Court Proceedings,1 December 1932,Lithgow Mercury,Police,New South Wales Police,orphaned_tags_final_resolution,Final batch: all tags verified as synonyms in taxonomy
Scarborough.,21 February 1911,Illawarra Mercury,South Clifton Mine Co.,South Clifton Mine Company,orphaned_tags_final_resolution,Final batch: all tags verified as synonyms in taxonomy
West Wallsend.,10 October 1911,Newcastle Morning Herald and Miners' Advocate,Hartley Vale,Hartley Vale mining district,orphaned_tags_final_resolution,Final batch: all tags verified as synonyms in taxonomy
Deplorable State.,14 February 1911,Illawarra Mercury,South Clifton Mine Co.,South Clifton Mine Company,orphaned_tags_final_resolution,Final batch: all tags verified as synonyms in taxonomy
South Clifton Fatality,31 May 1910,Illawarra Mercury,South Clifton Mine Co.,South Clifton Mine Company,orphaned_tags_final_resolution,Final batch: all tags verified as synonyms in taxonomy
Bigamy.,4 August 1909,New South Wales Police Gazette and Weekly Record of Crime,Police,New South Wales Police,orphaned_tags_final_resolution,Final batch: all tags verified as synonyms in taxonomy
John Britty North.,6 March 1909,Blue Mountain Echo,Nellie's Glen,Nellie's Glen mining district,orphaned_tags_final_resolution,Final batch: all tags verified as synonyms in taxonomy
Missing Friends.,9 June 1909,New South Wales Police Gazette and Weekly Record of Crime,Police,New South Wales Police,orphaned_tags_final_resolution,Final batch: all tags verified as synonyms in taxonomy
Katoomba Police Court.,1 December 1905,Mountaineer,Mr David Brown,Mr D Brown,orphaned_tags_final_resolution,Final batch: all tags verified as synonyms in taxonomy
MINER INJURED AT KATOOMBA.,31 July 1905,Daily Telegraph,Australian Kerosene Shale and Oil Company,Australian Kerosene Oil and Mineral Company,orphaned_tags_final_resolution,Final batch: all tags verified as synonyms in taxonomy
A Public Meeting.,13 January 1905,Mountaineer,Nellie's Glen,Nellie's Glen mining district,orphaned_tags_final_resolution,Final batch: all tags verified as synonyms in taxonomy
"St Joseph's New Church, Megalong",17 March 1905,Mountaineer,Nellie's Glen,Nellie's Glen mining district,orphaned_tags_final_resolution,Final batch: all tags verified as synonyms in taxonomy
Town Talk.,2 October 1903,Blue Mountain Gazette,Police,New South Wales Police,orphaned_tags_final_resolution,Final batch: all tags verified as synonyms in taxonomy
Work at the Mines.,17 April 1903,Blue Mountain Gazette,Nellie's Glen,Nellie's Glen mining district,orphaned_tags_final_resolution,Final batch: all tags verified as synonyms in taxonomy
The Katoomba Mines.,20 March 1903,Blue Mountain Gazette,Nellie's Glen | Ruined Castle,Nellie's Glen mining district | Ruined Castle mining district,orphaned_tags_final_resolution,Final batch: all tags verified as synonyms in taxonomy
Narrow Neck.,27 December 1901,Mountaineer,Nellie's Glen,Nellie's Glen mining district,orphaned_tags_final_resolution,Final batch: all tags verified as synonyms in taxonomy
Mining.,15 June 1897,Evening News,Hartley Vale,Hartley Vale mining district,orphaned_tags_final_resolution,Final batch: all tags verified as synonyms in taxonomy
Current Events.,26 October 1896,Newcastle Morning Herald and Miners' Advocate,Ruined Castle,Ruined Castle mining district,orphaned_tags_final_resolution,Final batch: all tags verified as synonyms in taxonomy
Mining.,25 August 1896,Evening News,Hartley Vale,Hartley Vale mining district,orphaned_tags_final_resolution,Final batch: all tags verified as synonyms in taxonomy
Mining.,19 May 1896,Evening News,Hartley Vale,Hartley Vale mining district,orphaned_tags_final_resolution,Final batch: all tags verified as synonyms in taxonomy
The Gold Fields.,21 April 1896,Evening News,Hartley Vale,Hartley Vale mining district,orphaned_tags_final_resolution,Final batch: all tags verified as synonyms in taxonomy
