title,date,publication,remove_tags,add_tags,source,notes
Football.,22 April 1904,Blue Mountain Gazette,Weather,weather,high_impact_mappings,Corrected mapping to generic singular leaf
Town Talk.,2 October 1903,Blue Mountain Gazette,Weather,weather,high_impact_mappings,Corrected mapping to generic singular leaf
Megalong Notes.,21 March 1902,Mountaineer,Weather,weather,high_impact_mappings,Corrected mapping to generic singular leaf
Mountain Mixtures.,29 December 1893,Katoomba Times,Weather,weather,high_impact_mappings,Corrected mapping to generic singular leaf
At Katoomba,10 November 1893,Katoomba Times,Weather,weather,high_impact_mappings,Corrected mapping to generic singular leaf
Mountain Mixtures.,2 June 1893,Katoomba Times,Weather,weather,high_impact_mappings,Corrected mapping to generic singular leaf
"Katoomba, Sunday.",17 April 1893,Sydney Morning Herald,Weather,weather,high_impact_mappings,Corrected mapping to generic singular leaf
Mountain Mixtures.,10 February 1893,Katoomba Times,Weather,weather,high_impact_mappings,Corrected mapping to generic singular leaf
Mountain Mixtures.,2 December 1892,Katoomba Times,Weather,weather,high_impact_mappings,Corrected mapping to generic singular leaf
Mountain Mixtures.,18 November 1892,Katoomba Times,Weather,weather,high_impact_mappings,Corrected mapping to generic singular leaf
Mountain Mixtures.,11 March 1892,Katoomba Times,Weather,weather,high_impact_mappings,Corrected mapping to generic singular leaf
Katoomba Municipal Elections.,5 July 1890,Katoomba Times,Weather,weather,high_impact_mappings,Corrected mapping to generic singular leaf
Katoomba.,7 January 1888,Nepean Times,Weather,weather,high_impact_mappings,Corrected mapping to generic singular leaf
Katoomba.,29 September 1888,Nepean Times,Weather,weather,high_impact_mappings,Corrected mapping to generic singular leaf
Katoomba News.,29 June 1895,Nepean Times,Weather,weather,high_impact_mappings,Corrected mapping to generic singular leaf
Megalong Matters.,9 September 1892,Katoomba Times,Weather,weather,high_impact_mappings,Corrected mapping to generic singular leaf
Katoomba.,8 July 1908,Lithgow Mercury,Weather,weather,high_impact_mappings,Corrected mapping to generic singular leaf
Katoomba.,1 August 1905,Lithgow Mercury,Weather,weather,high_impact_mappings,Corrected mapping to generic singular leaf
Katoomba. Mine Operations Suspended.,27 May 1904,Lithgow Mercury,Weather,weather,high_impact_mappings,Corrected mapping to generic singular leaf
Katoomba.,14 July 1888,Nepean Times,Weather,weather,high_impact_mappings,Corrected mapping to generic singular leaf
Katoomba.,21 April 1903,Lithgow Mercury,Weather,weather,high_impact_mappings,Corrected mapping to generic singular leaf
Katoomba.,19 December 1885,Nepean Times,Weather,weather,high_impact_mappings,Corrected mapping to generic singular leaf
Megalong Matters.,10 January 1896,Mountaineer,Weather,weather,high_impact_mappings,Corrected mapping to generic singular leaf
NARROW ESCAPE OF SHALE STACK.,6 January 1905,Daily Telegraph,Shale mines,shale mine,high_impact_mappings,Corrected mapping to generic singular leaf
Katoomba Items.,28 April 1899,Lithgow Mercury,Shale mines,shale mine,high_impact_mappings,Corrected mapping to generic singular leaf
Mountain Mixtures.,4 December 1891,Katoomba Times,Shale mines,shale mine,high_impact_mappings,Corrected mapping to generic singular leaf
Mountain Mixtures.,22 January 1892,Katoomba Times,Shale mines,shale mine,high_impact_mappings,Corrected mapping to generic singular leaf
Katoomba.,4 August 1905,Lithgow Mercury,Shale mines,shale mine,high_impact_mappings,Corrected mapping to generic singular leaf
Mountain Mixtures.,16 June 1893,Katoomba Times,Shale mines,shale mine,high_impact_mappings,Corrected mapping to generic singular leaf
Town Talk.,30 October 1903,Blue Mountain Gazette,Shale mines,shale mine,high_impact_mappings,Corrected mapping to generic singular leaf
Local Jottings.,25 May 1889,Katoomba Times,Shale mines,shale mine,high_impact_mappings,Corrected mapping to generic singular leaf
Local Jottings.,21 September 1889,Katoomba Times,Shale mines,shale mine,high_impact_mappings,Corrected mapping to generic singular leaf
Mountain Mixtures.,29 April 1892,Katoomba Times,Shale mines,shale mine,high_impact_mappings,Corrected mapping to generic singular leaf
A.K.O. & M. Co.'s Meeting.,27 December 1901,Lithgow Mercury,Shale mines,shale mine,high_impact_mappings,Corrected mapping to generic singular leaf
